b0.88.out:Susceptibility standard deviation:        0.000773
b0.89.out:Susceptibility standard deviation:        0.000907
b0.90.out:Susceptibility standard deviation:        0.001115
b0.91.out:Susceptibility standard deviation:        0.001360
b0.92.out:Susceptibility standard deviation:        0.001590
b0.93.out:Susceptibility standard deviation:        0.001826
b0.94.out:Susceptibility standard deviation:        0.001848
b0.95.out:Susceptibility standard deviation:        0.002358
b0.96.out:Susceptibility standard deviation:        0.002525
