0.75 681.686242
0.76 676.352882
0.77 671.159710
0.78 666.513673
0.79 661.470146
0.80 657.499767
0.81 653.891997
0.82 650.288957
0.83 647.393396
0.84 644.747181
0.85 643.215048
0.86 642.213605
0.87 641.790651
0.88 642.829341
0.89 645.199802
0.90 648.923580
0.91 653.413994
0.92 658.935234
0.93 664.597580
0.94 670.821344
0.95 676.883616
0.96 682.250986
0.97 687.522968
0.98 692.476684
0.99 697.001272
1.00 701.457972
1.01 705.519521
1.02 709.342025
1.03 713.170798
1.04 716.438305
1.05 719.795985
1.06 723.136095
1.07 726.098737
1.08 728.747621
1.09 731.663890
1.10 734.146389
